"","Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"40567",278,123,0,"A_25_P00012274","hsa-miR-29c-3p",-4.15554746234227,9.88137456763497,-10.7411479700077,1.73972764977686e-09,1.75838290211337e-05,11.6935651834902
"55399",380,106,0,"A_25_P00012274","hsa-miR-29c-3p",-4.04782946513175,9.80179158236281,-10.5663830503861,2.27415532685839e-09,1.75838290211337e-05,11.4546263878523
"49883",343,30,0,"A_25_P00012275","hsa-miR-29c-3p",-4.08707183993688,9.9632040624846,-10.3480606190291,3.19251020610027e-09,1.75838290211337e-05,11.1507699305847
"37093",254,147,0,"A_25_P00012274","hsa-miR-29c-3p",-4.11451275986055,9.78312972052408,-10.2579702537905,3.677657547665e-09,1.75838290211337e-05,11.0236207562384
"50495",347,56,0,"A_25_P00012275","hsa-miR-29c-3p",-4.12072657575343,10.0191498082704,-10.2492079264153,3.72878588937464e-09,1.75838290211337e-05,11.0111985270431
"49764",342,56,0,"A_25_P00012275","hsa-miR-29c-3p",-4.06738439856753,10.0068028108922,-10.1966693484077,4.05132268619251e-09,1.75838290211337e-05,10.9365079911075
"48254",331,132,0,"A_25_P00012274","hsa-miR-29c-3p",-4.10833525747164,9.76434347013646,-10.189879821414,4.09508102356669e-09,1.75838290211337e-05,10.9268297969896
"47031",323,72,0,"A_25_P00012275","hsa-miR-29c-3p",-4.14635336064162,10.0780214435081,-10.116249324295,4.60258861087244e-09,1.75838290211337e-05,10.8214890339818
"47791",328,97,0,"A_25_P00012275","hsa-miR-29c-3p",-4.06522524320765,10.0842990483247,-10.1141021864035,4.6183376976679e-09,1.75838290211337e-05,10.8184066301177
"43178",296,110,0,"A_25_P00012274","hsa-miR-29c-3p",-4.09605423741058,9.91770154650945,-10.1096884539662,4.65088899920241e-09,1.75838290211337e-05,10.8120684474009
"16992",117,32,0,"A_25_P00012275","hsa-miR-29c-3p",-4.05102836798616,9.97760041995315,-10.0182476245892,5.38197509472665e-09,1.75838290211337e-05,10.6801860419695
"49049",337,64,0,"A_25_P00012274","hsa-miR-29c-3p",-4.03150168313533,9.90699822119453,-10.0153432393239,5.4070731902484e-09,1.75838290211337e-05,10.6759791965379
"23020",158,43,0,"A_25_P00012274","hsa-miR-29c-3p",-3.96299812229084,9.99854457379965,-9.96704688137844,5.84281301520936e-09,1.75838290211337e-05,10.6058619832061
"38667",265,110,0,"A_25_P00012275","hsa-miR-29c-3p",-4.09823678838163,10.129878099915,-9.95611605571608,5.9464248806535e-09,1.75838290211337e-05,10.5899498511382
"50229",345,87,0,"A_25_P00012274","hsa-miR-29c-3p",-4.0246827454816,9.91160364338693,-9.90541782139214,6.45267027530067e-09,1.75838290211337e-05,10.5159414217914
"9296",64,30,0,"A_25_P00012275","hsa-miR-29c-3p",-3.94027865670515,9.94550048872765,-9.88829686421259,6.63362465548622e-09,1.75838290211337e-05,10.4908716547602
"5164",35,157,0,"A_25_P00012275","hsa-miR-29c-3p",-4.04152638985424,9.97241044536065,-9.86615545277839,6.87552538411535e-09,1.75838290211337e-05,10.4583928587417
"33434",229,107,0,"A_25_P00012274","hsa-miR-29c-3p",-3.95744241797908,9.98411721886854,-9.85802126326211,6.96668979425741e-09,1.75838290211337e-05,10.4464446072522
"33270",228,84,0,"A_25_P00012274","hsa-miR-29c-3p",-4.02863459935315,9.98099636207484,-9.81561799278637,7.46278069004244e-09,1.75838290211337e-05,10.3840160035088
"27567",189,43,0,"A_25_P00012275","hsa-miR-29c-3p",-4.0498504691644,10.143591982047,-9.81362669161778,7.48696481445034e-09,1.75838290211337e-05,10.3810783944359
"24894",171,25,0,"A_25_P00012274","hsa-miR-29c-3p",-4.0415585731273,9.81723916026402,-9.81303642315646,7.49414925680884e-09,1.75838290211337e-05,10.3802075162843
"31479",216,24,0,"A_25_P00012275","hsa-miR-29c-3p",-4.05467041124083,9.98949732412432,-9.78616125239508,7.82899819643913e-09,1.75838290211337e-05,10.3405067204663
"8998",62,27,0,"A_25_P00012274","hsa-miR-29c-3p",-4.02504328046198,9.77325401833795,-9.75530823275398,8.23273600549599e-09,1.75838290211337e-05,10.2948104576971
"15436",106,92,0,"A_25_P00012274","hsa-miR-29c-3p",-4.04621749455356,9.966660019614,-9.72180802125799,8.69580252269847e-09,1.75838290211337e-05,10.2450487127326
"30094",206,94,0,"A_25_P00012275","hsa-miR-29c-3p",-4.02346775869498,10.1286899180638,-9.70702063998568,8.9087728185091e-09,1.75838290211337e-05,10.2230352561675
"42630",292,157,0,"A_25_P00012275","hsa-miR-29c-3p",-3.94120286177888,9.92759456015544,-9.69727727262268,9.05206593948126e-09,1.75838290211337e-05,10.2085145379127
"37267",256,12,0,"A_25_P00012275","hsa-miR-29c-3p",-4.00794950941416,9.93327541222535,-9.68510770306095,9.2344242488077e-09,1.75838290211337e-05,10.1903600152016
"851",6,89,0,"A_25_P00012274","hsa-miR-29c-3p",-3.99286209251397,9.84535445482702,-9.67776362396568,9.34632384164817e-09,1.75838290211337e-05,10.1793944665458
"7639",52,145,0,"A_25_P00012274","hsa-miR-29c-3p",-4.02129933441445,9.83284281086043,-9.66980170566552,9.46923643126873e-09,1.75838290211337e-05,10.1674981787782
"2134",15,34,0,"A_25_P00012274","hsa-miR-29c-3p",-4.01662984347423,9.74005105068768,-9.64142077350251,9.92126048335059e-09,1.75838290211337e-05,10.1250230725907
"15877",109,94,0,"A_25_P00012275","hsa-miR-29c-3p",-4.04698835258561,10.1301185911052,-9.64051650999344,9.93602734832541e-09,1.75838290211337e-05,10.1236679519376
"20537",141,80,0,"A_25_P00012274","hsa-miR-29c-3p",-4.0237556621622,9.99510355180756,-9.63418821719457,1.00400137155856e-08,1.75838290211337e-05,10.1141813301073
"14398",99,67,0,"A_25_P00012275","hsa-miR-29c-3p",-4.00220071760842,10.150755270578,-9.60194360657808,1.05877651459566e-08,1.76562730111961e-05,10.0657596491889
"22482",154,108,0,"A_25_P00012274","hsa-miR-29c-3p",-4.05537493511828,9.95550981938182,-9.58473563265428,1.08927512188774e-08,1.76562730111961e-05,10.0398606232224
"2691",18,154,0,"A_25_P00012274","hsa-miR-29c-3p",-4.07408265121667,9.77367283000803,-9.57734673505851,1.1026506947967e-08,1.76562730111961e-05,10.0287275203091
"4826",33,101,0,"A_25_P00012275","hsa-miR-29c-3p",-4.05482258533748,10.0755624995132,-9.52897694242061,1.19454955244033e-08,1.85964819769349e-05,9.95566315164091
"26685",183,38,0,"A_25_P00012275","hsa-miR-29c-3p",-4.10851678265036,10.1044999818633,-9.47079907527597,1.31576408155908e-08,1.94890647048366e-05,9.86735921652907
"10399",71,127,0,"A_25_P00012274","hsa-miR-29c-3p",-4.05314076514147,9.86002812615536,-9.46821626871226,1.32143397827384e-08,1.94890647048366e-05,9.86342819452533
"36378",250,12,0,"A_25_P00012275","hsa-miR-29c-3p",-3.90240456146016,9.94525093548248,-9.43972245514242,1.38570256684689e-08,1.99129011939403e-05,9.81999980998458
"12704",87,121,0,"A_25_P00015877","hsa-miR-4324",-2.24719185924257,6.25181964523761,-9.41245339081395,1.45026422556487e-08,2.03196520643893e-05,9.77833335521508
"30934",212,56,0,"A_25_P00012647","hsa-miR-502-3p",-1.74404553066417,6.06054647173594,-9.33376131237926,1.65475729634271e-08,2.26193214429831e-05,9.6575173636611
